generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,selected_parent_mutation_type,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
11,0.3427734375,kl,,13.1953125,12.28125,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":6,""quantization"":2,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":1}",parent,False,117.80033079534769,2543.50439453125
12,0.3427734375,kl,,,,,,0,{},8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":4,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":0}",depth,True,118.84693254157901,2543.50439453125
13,0.3916015625,kl,,13.3828125,12.3515625,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":3,""quantization"":5,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":0}",depth,True,134.2578981257975,2543.50439453125
14,0.347412109375,kl,,,,,,0,{},8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":3,""quantization"":5,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":1}",parent,False,135.2794727999717,2543.50439453125
15,0.33349609375,kl,,12.8671875,11.6953125,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":4,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":0}",quantization,True,150.70810517854989,2543.50439453125
16,0.33056640625,kl,,,,,,0,{},8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":5,""quantization"":3,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":0}",depth,True,151.69725650176406,2543.50439453125
17,0.322265625,kl,,12.46875,11.578125,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":3,""quantization"":5,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":0}",depth,True,167.20906432904303,2543.50439453125
18,0.265625,kl,,,,,,0,{},8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":2,""quantization"":6,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":0}",quantization,True,168.24183602072299,2543.50439453125
19,0.27734375,kl,,12.5703125,11.3359375,,,340992,"{""wikitext2"":340992}",8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":4,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":0}",depth,True,183.69818423315883,2543.50439453125
20,0.266357421875,kl,,,,,,0,{},8,2,1,,"[2,1]","[512,2048]",1011968000,3.0,1800.17578125,2,2,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":3,""quantization"":5,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":1,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":true,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""stagnation_generations_after_selection"":1}",parent,False,184.70270559750497,2543.50439453125
